Provincia;Municipio;Código Unidad Poblacional;CUP;COD;Unidad Poblacional;field_6;Poblacion_Total;Poblacion
28 Madrid;159 Valdemaqueda;"101";"101";"1590101";VALDEMAQUEDA;NUC;"813";813
28 Madrid;159 Valdemaqueda;"201";"201";"1590201";RÍO (EL);NUC;"15";15
28 Madrid;160 Valdemorillo;"201";"201";"1600201";CERRO ALARCÓN;NUC;"2974";2974
28 Madrid;160 Valdemorillo;"301";"301";"1600301";NAVARREDONDA;NUC;"2518";2518
28 Madrid;160 Valdemorillo;"501";"501";"1600501";DEHESA;NUC;"1212";1212
28 Madrid;160 Valdemorillo;"601";"601";"1600601";PARAÍSO (EL);NUC;"475";475
28 Madrid;160 Valdemorillo;"801";"801";"1600801";PINO ALTO;NUC;"521";521
28 Madrid;160 Valdemorillo;"901";"901";"1600901";PIZARRERA (LA);NUC;"229";229
28 Madrid;160 Valdemorillo;"1201";"1201";"1601201";CAMPING DE VALDEMORILLO;NUC;"6";6
28 Madrid;160 Valdemorillo;"1202";"1202";"1601202";VALDEMORILLO;NUC;"5950";5950
28 Madrid;160 Valdemorillo;"1203";"1203";"1601203";CHARQUILLAS (LAS);NUC;"47";47
28 Madrid;160 Valdemorillo;"1501";"1501";"1601501";MONTEMORILLO;NUC;"73";73
